Index,Collisions,Hash
0,50,K840OT
1,8,C895MX
2,86,G563IK
3,179,E957QB
4,203,B565NW
5,20,E975NH
6,200,L299GV
7,15,J496BF
8,111,J243JE
9,141,Z836CR
10,44,A175QF
11,112,G695JU
12,22,W766ZH
13,17,S939OT
14,49,G112VZ
15,16,T151SM
16,70,X854MR
17,43,A594RX
18,93,K386UZ
19,332,N259HJ
20,122,P467CV
21,48,K678NU
22,33,A397OY
23,24,R289VT
24,27,R324UG
25,102,C500LX
26,53,Y103RN
27,2,G074YW
28,97,E604EY
29,75,X811OJ
30,22,G012VF
31,77,M008RC
32,146,J437LJ
33,187,H516LX
34,35,S218QB
35,202,P766ND
36,30,A712BY
37,91,F384HF
38,149,V803FZ
39,64,J915AL
40,145,I670LY
41,16,V881YM
42,4,U917OW
43,38,Y053UF
44,19,J870JN
45,70,T658NT
46,48,P619VH
47,64,Y857NQ
48,320,A012VW
49,144,F216YS
50,52,S907YM
51,24,D129TY
52,20,Y373XR
53,18,X152AW
54,133,T892XF
55,63,O734KV
56,3,P083SZ
57,73,A146IY
58,54,G893RO
59,37,C213IU
60,87,A366YB
61,160,G488CQ
62,213,D258YM
63,38,I894HL
64,243,T718BY
65,39,G292PL
66,87,P452GB
67,123,R139RQ
68,62,S257CC
69,139,H479VJ
70,20,M477AU
71,3,N876XR
72,27,H575TK
73,22,T243BS
74,70,Q238WU
75,60,E234ZW
76,56,R748SU
77,300,G169IS
78,131,T498IJ
79,62,B176KQ
80,37,V723TH
81,9,V964TT
82,9,R989ID
83,122,I996SR
84,90,S886BT
85,9,U979QE
86,72,K937CN
87,24,E419PZ
88,17,L359SQ
89,102,G722SG
90,176,Q333IM
91,169,S516EV
92,17,J019EZ
93,180,R219XJ
94,59,M033NG
95,113,G266AO
96,106,W439HT
97,57,I142QG
98,112,V228WD
99,39,E791JL
100,11,X099LX
101,30,Q453WE
102,8,B536KX
103,50,R685TR
104,44,S991XB
105,67,F660LR
106,288,O911VC
107,95,H901TW
108,51,U311RA
109,58,Q078NQ
110,17,V656ZQ
111,8,L789TB
112,90,W621HG
113,43,I265ZP
114,20,V795YF
115,97,N765EK
116,34,Z321UI
117,12,G167PD
118,113,A639WC
119,183,A595MP
120,208,J445TP
121,14,J661IT
122,176,V575IQ
123,74,B534KP
124,141,E227OG
125,126,F828TX
126,79,F535QE
127,97,P175HY
128,32,U068MG
129,18,W935RU
130,34,N459UJ
131,4,M169OH
132,27,Z870XK
133,33,R823HZ
134,84,W927OW
135,318,P782MF
136,82,Q078TJ
137,31,P108PE
138,33,Z103LV
139,16,R875ZS
140,20,F348UQ
141,127,Z186EB
142,38,N643MY
143,9,C507TJ
144,105,K030QR
145,59,A022BA
146,12,C017QN
147,95,I063GU
148,188,W404NE
149,201,Z426DR
150,26,P665CQ
151,182,W860XE
152,49,X540FC
