Position,CollisionCount,Occupied
0,50,1
1,8,1
2,86,1
3,179,1
4,203,1
5,20,1
6,200,1
7,15,1
8,111,1
9,141,1
10,44,1
11,112,1
12,22,1
13,17,1
14,49,1
15,16,1
16,70,1
17,43,1
18,93,1
19,332,1
20,122,1
21,48,1
22,33,1
23,24,1
24,27,1
25,102,1
26,53,1
27,2,1
28,97,1
29,75,1
30,22,1
31,77,1
32,146,1
33,187,1
34,35,1
35,202,1
36,30,1
37,91,1
38,149,1
39,64,1
40,145,1
41,16,1
42,4,1
43,38,1
44,19,1
45,70,1
46,48,1
47,64,1
48,320,1
49,144,1
50,52,1
51,24,1
52,20,1
53,18,1
54,133,1
55,63,1
56,3,1
57,73,1
58,54,1
59,37,1
60,87,1
61,160,1
62,213,1
63,38,1
64,243,1
65,39,1
66,87,1
67,123,1
68,62,1
69,139,1
70,20,1
71,3,1
72,27,1
73,22,1
74,70,1
75,60,1
76,56,1
77,300,1
78,131,1
79,62,1
80,37,1
81,9,1
82,9,1
83,122,1
84,90,1
85,9,1
86,72,1
87,24,1
88,17,1
89,102,1
90,176,1
91,169,1
92,17,1
93,180,1
94,59,1
95,113,1
96,106,1
97,57,1
98,112,1
99,39,1
100,11,1
101,30,1
102,8,1
103,50,1
104,44,1
105,67,1
106,288,1
107,95,1
108,51,1
109,58,1
110,17,1
111,8,1
112,90,1
113,43,1
114,20,1
115,97,1
116,34,1
117,12,1
118,113,1
119,183,1
120,208,1
121,14,1
122,176,1
123,74,1
124,141,1
125,126,1
126,79,1
127,97,1
128,32,1
129,18,1
130,34,1
131,4,1
132,27,1
133,33,1
134,84,1
135,318,1
136,82,1
137,31,1
138,33,1
139,16,1
140,20,1
141,127,1
142,38,1
143,9,1
144,105,1
145,59,1
146,12,1
147,95,1
148,188,1
149,201,1
150,26,1
151,182,1
152,49,1
153,135,1
154,159,1
155,81,1
156,138,1
157,12,1
158,14,1
159,40,1
160,25,1
161,29,1
162,25,1
163,76,1
164,285,1
165,121,1
166,32,1
167,20,1
168,16,1
169,30,1
170,129,1
171,29,1
172,0,1
173,126,1
174,55,1
175,25,1
176,91,1
177,187,1
178,167,1
179,29,1
180,177,1
181,41,1
182,124,1
183,157,1
184,92,1
185,92,1
186,13,1
187,1,1
188,29,1
189,23,1
190,27,1
191,23,1
192,51,1
193,270,1
194,92,1
195,68,1
196,16,1
197,3,1
198,16,1
199,143,1
200,34,1
201,3,1
202,109,1
203,48,1
204,38,1
205,115,1
206,170,1
207,176,1
208,31,1
209,182,1
210,69,1
211,149,1
212,116,1
213,81,1
214,110,1
215,21,1
216,0,1
217,10,1
218,19,1
219,38,1
220,26,1
221,47,1
222,220,1
223,90,1
224,61,1
225,31,1
226,3,1
227,9,1
228,137,1
229,41,1
230,9,1
231,93,1
232,21,1
233,37,1
234,128,1
235,178,1
236,213,1
237,18,1
238,190,1
239,87,1
240,148,1
241,135,1
242,88,1
243,92,1
244,39,1
245,14,1
246,17,1
247,16,1
248,34,1
249,42,1
250,62,1
251,245,1
252,70,1
253,80,1
254,42,1
255,10,1
256,12,1
257,141,1
258,42,1
259,13,1
260,123,1
261,27,1
262,17,1
263,122,1
264,185,1
265,157,1
266,12,1
267,162,1
268,86,1
269,152,1
270,158,1
271,94,1
272,87,1
273,35,1
274,18,1
275,27,1
276,13,1
277,8,1
278,27,1
279,73,1
280,264,1
281,51,1
282,57,1
283,33,1
284,28,1
285,21,1
286,118,1
287,23,1
288,10,1
289,116,1
290,45,1
291,13,1
292,127,1
293,168,1
294,168,1
295,18,1
296,134,1
297,66,1
298,147,1
299,151,1
300,88,1
301,80,1
302,15,1
303,13,1
304,24,1
305,22,1
306,9,1
307,13,1
308,63,1
309,263,1
310,76,1
311,45,1
312,20,1
313,13,1
314,35,1
315,120,1
316,9,1
317,1,1
318,112,1
319,60,1
320,39,1
321,110,1
322,145,1
323,147,1
324,31,1
325,179,1
326,88,1
327,149,1
328,145,1
329,134,1
330,83,1
331,15,1
332,2,1
333,17,1
334,34,1
335,26,1
336,22,1
337,54,1
338,258,1
339,92,1
340,75,1
341,40,1
342,4,1
343,26,1
344,133,1
345,44,1
346,0,0
347,104,1
348,47,1
349,44,1
350,122,1
351,192,1
352,141,1
353,31,1
354,126,1
355,84,1
356,148,1
357,128,1
358,123,1
359,112,1
360,27,1
361,0,1
362,5,1
363,34,1
364,27,1
365,33,1
366,55,1
367,215,1
368,89,1
369,83,1
370,52,1
371,3,1
372,14,1
373,140,1
374,47,1
375,13,1
376,116,1
377,33,1
378,51,1
379,127,1
380,175,1
381,127,1
382,16,1
383,107,1
384,97,1
385,160,1
386,116,1
387,123,1
388,74,1
389,28,1
390,12,1
391,11,1
392,11,1
393,25,1
394,36,1
395,77,1
396,211,1
397,63,1
398,80,1
399,46,1
400,11,1
401,14,1
402,131,1
403,36,1
404,10,1
405,95,1
406,36,1
407,39,1
408,110,1
409,212,1
410,149,1
411,12,1
412,89,1
413,99,1
414,184,1
415,117,1
416,119,1
417,90,1
418,15,1
419,25,1
420,14,1
421,17,1
422,25,1
423,24,1
424,89,1
425,233,1
426,92,1
427,69,1
428,47,1
429,25,1
430,24,1
431,97,1
432,25,1
433,5,1
434,125,1
435,46,1
436,31,1
437,98,1
438,178,1
439,166,1
440,21,1
441,77,1
442,80,1
443,184,1
444,141,1
445,121,1
446,84,1
447,9,1
448,4,1
449,25,1
450,30,1
451,21,1
452,33,1
453,84,1
454,217,1
455,110,1
456,70,1
457,49,1
458,13,1
459,40,1
460,139,1
461,23,1
462,1,1
463,95,1
464,69,1
465,56,1
466,129,1
467,167,1
468,131,1
469,33,1
470,73,1
471,79,1
472,186,1
473,124,1
474,143,1
475,85,1
476,9,1
477,0,0
478,14,1
479,46,1
480,30,1
481,19,1
482,80,1
483,175,1
484,124,1
485,96,1
486,44,1
487,7,1
488,39,1
489,134,1
490,29,1
491,0,1
492,78,1
493,75,1
494,73,1
495,127,1
496,148,1
497,140,1
498,30,1
499,98,1
500,87,1
501,198,1
502,87,1
503,145,1
504,76,1
505,16,1
506,2,1
507,7,1
508,39,1
509,42,1
510,24,1
511,78,1
512,146,1
513,134,1
514,113,1
515,50,1
516,3,1
517,35,1
518,140,1
519,42,1
520,9,1
521,95,1
522,51,1
523,75,1
524,156,1
525,186,1
526,145,1
527,14,1
528,72,1
529,79,1
530,188,1
531,133,1
532,121,1
533,59,1
534,34,1
535,14,1
536,12,1
537,22,1
538,46,1
539,39,1
540,104,1
541,132,1
542,145,1
543,114,1
544,80,1
545,10,1
546,44,1
547,129,1
548,33,1
549,17,1
550,94,1
551,50,1
552,76,1
553,134,1
554,139,1
555,146,1
556,12,1
557,39,1
558,75,1
559,201,1
560,125,1
561,122,1
562,44,1
563,21,1
564,27,1
565,16,1
566,25,1
567,31,1
568,46,1
569,124,1
570,143,1
571,126,1
572,112,1
573,56,1
574,28,1
575,58,1
576,127,1
577,27,1
578,12,1
579,81,1
580,66,1
581,58,1
582,129,1
583,152,1
584,150,1
585,19,1
586,65,1
587,83,1
588,212,1
589,150,1
590,181,1
591,44,1
592,3,1
593,8,1
594,19,1
595,42,1
596,26,1
597,38,1
598,135,1
599,157,1
600,146,1
601,104,1
602,57,1
603,23,1
604,74,1
605,103,1
606,16,1
607,5,1
608,73,1
609,87,1
610,81,1
611,118,1
612,125,1
613,144,1
614,47,1
615,68,1
616,62,1
617,180,1
618,136,1
619,162,1
620,69,1
621,9,1
622,4,1
623,24,1
624,51,1
625,58,1
626,29,1
627,154,1
628,160,1
629,160,1
630,133,1
631,65,1
632,4,1
633,80,1
634,119,1
635,35,1
636,2,1
637,46,1
638,103,1
639,114,1
640,146,1
641,94,1
642,130,1
643,32,1
644,60,1
645,82,1
646,172,1
647,95,1
648,187,1
649,57,1
650,22,1
651,4,1
652,12,1
653,52,1
654,53,1
655,58,1
656,133,1
657,136,1
658,196,1
659,145,1
660,76,1
661,3,1
662,73,1
663,88,1
664,54,1
665,11,1
666,47,1
667,80,1
668,127,1
669,123,1
670,127,1
671,129,1
672,21,1
673,47,1
674,87,1
675,228,1
676,121,1
677,200,1
678,56,1
679,31,1
680,16,1
681,24,1
682,37,1
683,54,1
684,56,1
685,167,1
686,132,1
687,175,1
688,168,1
689,81,1
690,21,1
691,68,1
692,82,1
693,59,1
694,16,1
695,63,1
696,74,1
697,106,1
698,147,1
699,136,1
700,150,1
701,21,1
702,31,1
703,66,1
704,218,1
705,136,1
706,187,1
707,40,1
708,26,1
709,32,1
710,30,1
711,40,1
712,51,1
713,60,1
714,169,1
715,143,1
716,154,1
717,131,1
718,80,1
719,30,1
720,85,1
721,78,1
722,48,1
723,20,1
724,53,1
725,108,1
726,121,1
727,112,1
728,113,1
729,144,1
730,54,1
731,37,1
732,51,1
733,231,1
734,126,1
735,183,1
736,29,1
737,16,1
738,29,1
739,62,1
740,42,1
741,46,1
742,48,1
743,205,1
744,140,1
745,206,1
746,135,1
747,48,1
748,27,1
749,134,1
750,74,1
751,42,1
752,11,1
753,43,1
754,121,1
755,170,1
756,93,1
757,97,1
758,168,1
759,58,1
760,39,1
761,80,1
762,215,1
763,121,1
764,243,1
765,48,1
766,21,1
767,12,1
768,51,1
769,63,1
770,44,1
771,42,1
772,170,1
773,149,1
774,205,1
775,155,1
776,51,1
777,9,1
778,133,1
779,96,1
780,77,1
781,8,1
782,18,1
783,119,1
784,180,1
785,122,1
786,110,1
787,139,1
788,65,1
789,56,1
790,54,1
791,196,1
792,119,1
793,220,1
794,65,1
795,35,1
796,5,1
797,58,1
798,69,1
799,58,1
800,44,1
801,151,1
802,113,1
803,190,1
804,175,1
805,77,1
806,10,1
807,124,1
808,74,1
809,83,1
810,35,1
811,41,1
812,99,1
813,202,1
814,131,1
815,98,1
816,136,1
817,48,1
818,36,1
819,61,1
820,203,1
821,93,1
822,236,1
823,52,1
824,35,1
825,40,1
826,58,1
827,45,1
828,32,1
829,50,1
830,191,1
831,100,1
832,209,1
833,173,1
834,65,1
835,26,1
836,143,1
837,69,1
838,93,1
839,37,1
840,45,1
841,124,1
842,179,1
843,123,1
844,88,1
845,174,1
846,49,1
847,19,1
848,49,1
849,249,1
850,101,1
851,205,1
852,28,1
